"sha256","canonical_name"
"c48ae8e2b7cf63463c289c258637db92b5eeb78d22c369bb6381df78daca4bdb","MG 1/100 ACGUY"
"149434537e966f59c197c4d89b2dcae3d66485ffaaa26317ede6f98ce90b222d","MG 1/100 BALL (08 TEAM VER.)"
"e11d8f817fa3febd9aaa5c98c9ca7845ebf84631b86e669aae5ccb69b7ad17ec","MG 1/100 BALL IGLOO VERSION"
"9a58b2b7b4875420498913ba342b439e18deeeb7380492303cd61c3b6bbc73ab","HG 1/144 al-Saache's AEU ENACT CUSTOM Moralia Development experiment type"
"0d9950bf86bcaa71611970221ad2b055c04930970d35558a8eeba2bdae8fc4e1","MG 1/100 BALL Ver. Ka"
"90d312047320380f687e07f87cfa209a6a0d935192168a9432ccab448dcba326","HG 1/144 AMPHIBIA SET"
"a7d6042b13d49f972d160b355b3829d49971d4c00eee788a97dba961ef099d02","MG 1/100 CALAMITY GUNDAM (FULL MECHANICS)"
"b22f1daa2f68b79eeca78c5055b41ef2301e6f2909a330c1dfd49e8c007634d4","MG 1/100 CROSSBONE FULL CLOTH"
"2e91667a5ccac22318b088c9cacbc69e513114493451e5b67c2dc91df4e314b3","MG 1/100 DEATHSCYTHE HELL EW VER."
"017700bdcc0e8bb9905155b0280e8b36344944c0dfa5c06c9adbffe340b69841","MG 1/100 DESTINY GUNDAM SPECIAL EDITION"
"af570b79705274c2cf5a75898ec04e3a964196b4bed901cac4666c157a5a08d1","HG 1/144 BASE JABBER TYPE 89"
"595f1ce5e546f20c3836416f9bdfc5d1c6bcfab81e7ec24c122cf71f1e178f3b","MG 1/100 FORBIDDEN GUNDAM (FULL MECHANICS)"
"3f3955ce80a5d5c97f20be33a15aebd40b7f87169ebc40a4ed6e9349de9e6ca5","RG 1/144 Z'GOK CHAR CUSTOM"
"91c0eb588802e19ae3e99d6f8457b2105a83535760644defecaea6167c202f1b","MG 1/100 FULL ARMOR GUNDAM Ver.Ka [GUNDAM THUNDERBOLT]"
"70bcdd4be2b5be99a58942fd6c321482bdaf3d69101f05b45544060300b2adb2","MG 1/100 FULL ARMOR ZZ GUNDAM Ver.Ka"
"381effdf94b0caffc30257f84aa27c62e0f6773724fd7835f2f9d203f448b3f3","MG 1/100 G ARMOR REAL TYPE COLOR Ver."
"dd8b98578ea007e8b9f6a336fc53eba2dae9c1bc298165269d649a2b3bf17863","MG 1/100 G-3 GUNDAM"
"e9baf2dfc061af4a4060981798d5f3806d778492d37cd42df435d42975c59ad9","MG 1/100 GELGOOG"
"29fe30f56815b0e7ff197037beba0413d51c1061c44d5b2d27a12053492caa30","HG 1/144 BUSHIDO'S AHEAD"
"393cb56ba5a6713c393686df5da0b9849f0bedec9058d46036d4a557e10cee95","HG 1/144 CHAR'S ZAKUII"
"6898f53d0a61b0d068afe8435094b8564928bc54817f0b8ab4425feb43f1820a","MG 1/100 GUNDAM"
"714343ec2f312c736bf72e4546ee529b95c580635ed3f211af17a7c0d70224a6","MG 1/100 GUNDAM ASTRAY BLUE FRAME 2nd REVISE"
"8c190d47d4e201a2aab96a40a1181eb2d2115a069c6f7ba701331e0615204feb","MG 1/100 GUNDAM EPYON EW VER."
"8f9841c5d36dd8b3a017aa939d350544d14ba8d56bd5d0062c322122abed7940","MG 1/100 GUNDAM F91 (HARRISON'S)"
"1b439f51f484c985093c0e51909211816a49d35498881da8f3027b6893708ca0","MG 1/100 GUNDAM GP02A"
"5b399ba2293fab5a32491dc70c250acbd444d4936fe44c55df5f1ba062161f96","MG 1/100 GUNDAM HEAVYARMS EW VER."
"3bae86a4d6274cce4e4bef75199d3201f9644b808f0788ee130749fa2ef3160f","HG 1/144 DOM TRIPLE SET"
"7b227f286d22dbdcb64d5e15f5e89cc03fb7e237b087c122095c37099bdf4d7b","MG 1/100 GUNDAM Mk-II TITANS (BLACK)"
"c66df1251fe54d58a4b81b439689da7ae68a859a6e3ff0286a5fee7d5ecd27c1","MG 1/100 GUNDAM Mk-II Ver.2.0"
"0692db0df4ac66defa87475d629a3cf32aa02a09a815adbadab8d7e363396fb6","HG 1/144 DYNAMES TRANSAM MODE"
"f9cd6e25ac90c7f11a9f33763ffa310af65ffbacb07b67c6d2c25caf7c4e57bc","MG 1/100 GUNDAM SANDROCK EW VER."
"5584dc4dd765897d678328bd11eb10348814691befac7db60bec42af7bd2ca5e","HG 1/144 ELF BULLOCK (MASK CUSTOM)"
"428cb69f4e88d4d9293a456112184a4733392654da5e53190aa55f6bf08797e5","HG 1/144 EWACK-ZACK"
