canonical_name,status,file_name,source,source_title,source_page_url,image_url,match_method,sha256,width,height,notes
HG 1/144 GOUF IGNITED (HEINE WESTENFLUSS CUSTOM),downloaded,HG 1_144 GOUF IGNITED (HEINE WESTENFLUSS CUSTOM)__6f25d01d22.jpg,dalong,Gouf Ignited (Heine Westenfluss Custom),https://www.dalong.net/reviews/seed/sh27/sh27_p_e.htm,https://www.dalong.net/reviews/seed/sh27/p/sh27.jpg,exact,ea59310f3ab4de20fd9402ef45556d9c7901dd30c929ba57614e5d6829ef7062,289,175,
HG 1/144 GUNDAM SANDROCK CUSTOM EW,downloaded,HG 1_144 GUNDAM SANDROCK CUSTOM EW__2d6302b70b.jpg,dalong,Gundam Sandrock Custom EW,https://www.dalong.net/reviews/hg/h268/h268_p_e.htm,https://www.dalong.net/reviews/hg/h268/p/h268.jpg,exact,6e3b2bc98c09458e64cfacf706571b1530b28d2cd859280eea01f3da6fc0c7f9,1500,966,
HG 1/144 XI GUNDAM (MOBILE SUIT GUNDAM HATHAWAY THE SORCERY OF NYMPH CIRCE),downloaded,HG 1_144 XI GUNDAM (MOBILE SUIT GUNDAM HATHAWAY THE SORCERY OF NYMPH CIRCE)__b4213a8bfe.jpg,dalong,Xi Gundam (Mobile Suit Gundam Harthaway the Sorcery of Nymph Circe),https://www.dalong.net/reviews/hg/h266/h266_p_e.htm,https://www.dalong.net/reviews/hg/h266/p/h266.jpg,exact,cf77532bcd912ac4a7111dba19cc6eb2549dd822970bbbfd9840fae7e6eabb2a,1500,1185,
HG 1/144 LEGEND GUNDAM,downloaded,HG 1_144 LEGEND GUNDAM__7ce38ea477.jpg,gunpla_hangar,ZGMF-X666S Legend Gundam,https://gunplahangar.com/kits/hgce-zgmf-x666s-legend-gundam,https://gunplahangar.com/img/kits/hgce-zgmf-x666s-legend-gundam/box-art-800.jpg,source_model_code_hangar_exact,3e34d47ace064c8e325e7ea08fbeb84e9ae538cd18a2a695717d935573c5af47,800,504,
HG 1/144 GQuuuuuuX (Endymion Unit Awakened),downloaded,HG 1_144 GQuuuuuuX (Endymion Unit Awakened)__60573ee0e7.jpg,dalong,GQuuuuuuX (Endymion Unit Awakened),https://www.dalong.net/reviews/hg/hgq13/hgq13_p_e.htm,https://www.dalong.net/reviews/hg/hgq13/p/hgq13.jpg,exact,d1fbe64a09b560d77fc54cca734fd0020e7c921ba1ec3a8024fc232f08adbde8,1500,936,
HG 1/144 WHITE GUNDAM,downloaded,HG 1_144 WHITE GUNDAM__414b1dfcf0.jpg,dalong,White Gundam,https://www.dalong.net/reviews/hg/hgq11/hgq11_p_e.htm,https://www.dalong.net/reviews/hg/hgq11/p/hgq11.jpg,exact,59f88913071ee948b476c802773fa9b593716a5ae87761fe2231b2b5f40f13ef,1500,940,
HG 1/144 GUNDAM ZAGAN,downloaded,HG 1_144 GUNDAM ZAGAN__20b1489398.jpg,dalong,Gundam Zagan,https://www.dalong.net/reviews/ib/ibh47/ibh47_p_e.htm,https://www.dalong.net/reviews/ib/ibh47/p/ibh47.jpg,exact,2786c6394236fe0b2e270a8f859f214cc781d78fca39ae25aed87d53af64b77e,1500,945,
HG 1/144 RED GUNDAM,downloaded,HG 1_144 RED GUNDAM__2f4f659021.jpg,dalong,Red Gundam,https://www.dalong.net/reviews/hg/hgq04/hgq04_p_e.htm,https://www.dalong.net/reviews/hg/hgq04/p/hgq04.jpg,exact,ff2badc4a30004935e6e96b0c6ee93ea987c79c4d25adac48909a72db79263e7,1200,747,
HG 1/144 PSYCHO GUNDAM Mk-II,downloaded,HG 1_144 PSYCHO GUNDAM Mk-II__339a5c6803.jpg,dalong,Psycho Gundam Mk-II,https://www.dalong.net/reviews/hg/h261/h261_p_e.htm,https://www.dalong.net/reviews/hg/h261/p/h261.jpg,exact,16339d946668f0bfba8df79a6deca688e642a7f7abad0fb2fc77b47248367daa,1200,798,
HG 1/144 Z'GOK (SEED FREEDOM Ver.),downloaded,HG 1_144 Z'GOK (SEED FREEDOM Ver.)__a499083d83.jpg,dalong,Z'Gok (Seed Freedom Ver.),https://www.dalong.net/reviews/hg/h260/h260_p_e.htm,https://www.dalong.net/reviews/hg/h260/p/h260.jpg,exact,1b09daf286f2082c8d5640f5a786f21cc5081f3f513c6b3bafb2257764f8be53,1200,765,
HG 1/144 DESTINY GUNDAM Spec II & ZEUS SILHOUETTE,downloaded,HG 1_144 DESTINY GUNDAM Spec II & ZEUS SILHOUETTE__add5b011e7.jpg,dalong,Destiny Gundam Spec II & Zeus Silhouette,https://www.dalong.net/reviews/hg/h258/h258_p_e.htm,https://www.dalong.net/reviews/hg/h258/p/h258.jpg,exact,efc4319ebe3a9bda0fb3cfb8ff9e9d8a85666594cd42de1629ed3eb04914b855,1200,954,
HG 1/144 DRAGON GUNDAM,not_found,,,,,,,,,,dalong: Dragon Gundam | dalong: Gundam | dalong: Gundam
