canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 Fawn Farcia,HG,1/144,,JPY,2022-06-01,
MG 1/100 IAN GRADEN’S ZAKU CANNON,MG,1/100,,JPY,2018-07-01,
HG 1/144 FORCE IMPULSE GUNDAM,HG,1/144,,JPY,2016-06-18,
MG 1/100 IMPULSE GUNDAM BLANCHE,MG,1/100,,JPY,2016-09-01,
HG 1/144 FREEDOM GUNDAM,HG,1/144,,JPY,2015-08-08,
MG 1/100 INFINITE JUSTICE GUNDAM,MG,1/100,,JPY,2008-10-01,
HG 1/144 FULL ARMOR GUNDAM [GUNDAM THUNDERBOLT Ver.],HG,1/144,,JPY,2016-04-09,
MG 1/100 JEGAN TYPE-D,MG,1/100,,JPY,2019-04-01,
HG 1/144 FULL ARMOR UNICORN GUNDAM (DESTROY MODE),HG,1/144,,JPY,2014-04-19,
MG 1/100 JEGAN TYPE-D (FIRST DEPLOYMENT TYPE),MG,1/100,,JPY,2020-06-01,
HG 1/144 FULL ARMOR UNICORN GUNDAM (DESTROY MODE/RED),HG,1/144,,JPY,2016-06-18,
MG 1/100 JESTA,MG,1/100,,JPY,2013-04-20,
HG 1/144 FULL ARMOR UNICORN GUNDAM (UNICORN MODE),HG,1/144,,JPY,2013-05-02,
"MG 1/100 JESTA (SHEZARR TYPE, TEAM B&C)",MG,1/100,,JPY,2019-04-01,
HG 1/144 FXA-05D/RX-178 SUPER GUNDAM,HG,1/144,,JPY,2002-11-01,
MG 1/100 JESTA CANNON,MG,1/100,,JPY,2015-11-01,
HG 1/144 G ARMOR,HG,1/144,,JPY,2004-10-01,
MG 1/100 Jim Sniper II (Lido Wolf machine),MG,1/100,,JPY,2019-07-01,
HG 1/144 G GUNDAM VS MASTER GUNDAM SCHOOL OF TOHO FUHAI HYPER MODE SET,HG,1/144,,JPY,2014-08-01,
MG 1/100 JOHNNY RIDDEN’S GELGOOG,MG,1/100,,JPY,2023-07-01,
HG 1/144 G-3 GUNDAM VS CHAR'S RICK DOM SET,HG,1/144,,JPY,2008-02-01,
MG 1/100 JUSTICE GUNDAM,MG,1/100,,JPY,2017-06-01,
HG 1/144 G-BOUNCER,HG,1/144,,JPY,2012-02-11,
MG 1/100 JUSTICE GUNDAM [SPECIAL COATING],MG,1/100,,JPY,2017-11-01,
HG 1/144 G-DEFENSER & FLYINGARMOR,HG,1/144,,JPY,2012-05-01,
MG 1/100 KÄMPFER SCHWER,MG,1/100,,JPY,2023-08-01,
HG 1/144 G-EXES,HG,1/144,,JPY,2011-12-17,
MG 1/100 M.P.T. HYAKUSHIKI-KAI,MG,1/100,,JPY,2015-12-01,
HG 1/144 G-EXES JACKEDGE,HG,1/144,,JPY,2012-07-28,
MG 1/100 MARASAI(UNICORN COLOR Ver.),MG,1/100,,JPY,2013-07-01,
HG 1/144 G-SELF(ATMOSPHERIC BACKPACK&SPACE BACKPACK)(Reconguista in G the Movie Ver.),HG,1/144,,JPY,2026-01-01,
MG 1/100 MASS PRODUCTION GELGOOG Ver. 2.0,MG,1/100,,JPY,2008-04-01,
HG 1/144 G-XIPHOS,HG,1/144,,JPY,2013-03-16,
MG 1/100 MASTER GUNDAM,MG,1/100,,JPY,2002-03-01,
HG 1/144 GABTHLEY,HG,1/144,,JPY,2005-12-19,
MG 1/100 MOBILE GINN (MIGUEL AYMAN CUSTOM),MG,1/100,,JPY,2024-03-01,
HG 1/144 GADDESS,HG,1/144,,JPY,2009-08-01,
MG 1/100 MS-05B ZAKUI,MG,1/100,,JPY,1999-05-01,
HG 1/144 GADESSA,HG,1/144,,JPY,2009-01-01,
MG 1/100 MS-05B ZAKUI(THE BLACK TRI-STARS),MG,1/100,,JPY,1999-05-01,
HG 1/144 GAEL CHAN’S SILVER BULLET,HG,1/144,,JPY,2015-09-01,
MG 1/100 MS-06 F2 ZAKUII,MG,1/100,,JPY,2002-04-01,
HG 1/144 GAELIO’S SCHWALBE GRAZE,HG,1/144,,JPY,2016-02-01,
MG 1/100 MS-06F ZAKU II (DOZLE ZABI USE),MG,1/100,,JPY,2014-06-01,
HG 1/144 GAEON,HG,1/144,,JPY,2015-02-14,
MG 1/100 MS-06F ZAKUII Ver.2.0,MG,1/100,,JPY,2008-03-01,
HG 1/144 GAFRAN,HG,1/144,,JPY,2011-10-01,
MG 1/100 MS-06F-2 ZAKUII F2,MG,1/100,,JPY,2002-09-01,
HG 1/144 GAIA'S/ORTEGA’S RICK DOM(GQ),HG,1/144,,JPY,2025-09-20,
MG 1/100 MS-06F/J ZAKUII,MG,1/100,,JPY,1995-11-01,
HG 1/144 GALBALDY REBAKE,HG,1/144,,JPY,2018-07-14,
MG 1/100 MS-06FS ZAKU II (GARMA ZABI USE),MG,1/100,,JPY,2014-12-01,
HG 1/144 GALBALDYβ,HG,1/144,,JPY,2018-06-16,
MG 1/100 MS-06J ZAKUII (GRAVITY BATTLE LINE IMAGE COLOR VER.),MG,1/100,,JPY,2009-07-01,
HG 1/144 GALLUSS-J,HG,1/144,,JPY,2025-08-08,
MG 1/100 MS-06J ZAKUII WHITE AUGER,MG,1/100,,JPY,2009-06-01,
HG 1/144 GAPLANT TR-5 [HRAIROO] (TITANS) (A.O.Z RE-BOOT Ver.),HG,1/144,,JPY,2024-02-01,
MG 1/100 MS-06R ZAKUII(THE BLACK TRI-STARS),MG,1/100,,JPY,1999-06-01,
HG 1/144 GAPLANT TR-5 [HRAIROO] with GIGANTIC ARM UNIT (A.O.Z RE-BOOT Ver.),HG,1/144,,JPY,2024-02-01,
MG 1/100 MS-06R-1 BRENISS OX'S ZAKU II,MG,1/100,,JPY,2017-10-01,
HG 1/144 GARAZZO,HG,1/144,,JPY,2009-03-01,
MG 1/100 MS-06R-1A MASAYA NAKAGAWA'S ZAKU II,MG,1/100,,JPY,2017-08-01,
HG 1/144 GARMA'S ZAKU,HG,1/144,,JPY,2002-09-01,
MG 1/100 MS-06R-1A SHIN MATSUNAGA’S ZAKU II (CUSTOM TYPE),MG,1/100,,JPY,2017-06-01,
HG 1/144 GASTIMA,HG,1/144,,JPY,2015-06-13,
MG 1/100 MS-06R-1A ZAKUII UMA LIGHTNING CUSTOM,MG,1/100,,JPY,2013-04-01,
HG 1/144 GATO’S GELGOOG,HG,1/144,,JPY,2013-07-01,
MG 1/100 MS-06R-2 J RIDDEN ZAKU Ver.2.0,MG,1/100,,JPY,2008-09-13,
HG 1/144 GAZ-R/L,HG,1/144,,JPY,2019-01-01,
MG 1/100 MS-06R-2 ROBERT GILLIAM’S ZAKU II,MG,1/100,,JPY,2016-11-01,
HG 1/144 GAZA C (HAMAN KARN'S MOBILE SUIT),HG,1/144,,JPY,2006-04-08,
MG 1/100 MS-06S CHAR'S ZAKU Ver. 2.0,MG,1/100,,JPY,2007-05-01,
HG 1/144 GAZA C (NORMAL TYPE),HG,1/144,,JPY,2006-04-08,
